"Event Name","Event Type","Resource Id","Event Date","Account","Region","Description"
"o2-s3-default-encryption","security","cloudticity-fission-qa-eks","2020-03-29T19:39:49.284Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-iam-unassigned-user","security","AIDAS6X65HY2PP2XIY3CA","2020-03-29T19:39:50.539Z","Cloudticity-Fission-QA","us-east-1","IAM user is not assigned to o2-Customer group."
"o2-ssm-unmanaged-instance","availability","i-0338b85180ddd551c","2020-03-29T19:39:56.324Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-s3-default-encryption","security","cloudticity-fission-qa-eks-code","2020-03-29T19:39:57.143Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","cloudticity-fission-qa-config","2020-03-29T19:39:58.824Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","o2-cloudticity-config-qa","2020-03-29T19:40:05.082Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","managed-eks-3-eksstack-1oib9cd6u-lambdazipsbucket-1iskfu5njpcf9","2020-03-29T19:40:06.845Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","managed-eks-3-eksstack-1oib9cd6u-kubeconfigbucket-pxkbfwa99jy8","2020-03-29T19:40:08.742Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ssm-unmanaged-instance","availability","i-0686a189b31296853","2020-03-29T19:40:08.784Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-security-group-unrestricted-ssh","security","sg-022cf8f7f8fdb2340","2020-03-29T19:40:09.380Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-iam-unassigned-user","security","AIDAS6X65HY2GD5S27H4D","2020-03-30T00:49:19.359Z","Cloudticity-Fission-QA","us-east-1","IAM user is not assigned to o2-Customer group."
"o2-iam-unassigned-user","security","AIDAS6X65HY2BWWYE2KHI","2020-03-30T00:55:24.546Z","Cloudticity-Fission-QA","us-east-1","IAM user is not assigned to o2-Customer group."
"o2-s3-default-encryption","security","o2-managed-kubernetes","2020-04-06T22:32:54.891Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","-","eks-v1-eksstack-blp8qfpkw8uv-kubeconfigbucket-dakcd9s7c0kx","2020-04-07T19:46:22.849Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
